ID;START;LEN;Entity;Sentence;URL;LABEL
1;28;2;Schmitt Pál;A magyarok tiszta, egyértelmű, vállalható, jól szerkesztett alkotmányt szeretnének, amely hosszú időre, történelmi távlatokra rendezi közös dolgaikat, rögzíti alapjogaikat - mondta Schmitt Pál köztársasági elnök pénteken Budapesten Az alkotmányozás dilemmái című konferencia megnyitó beszédében.;http://kecskemetitv.hu/hun/sa_kecskemet/i_belfold_3/i_schmitt_pal:_a_magyarok_egyertelmu_vallalhato_alko_78267/t_Schmitt%20Pál%20a%20magyarok%20egyértelmű,%20vállalható%20alkotmányt%20szeretnének/index.html;SEM
2;7;2;Matolcsy György;A szóvivő megerősítette: a kabinet Matolcsy György nemzetgazdasági miniszter előterjesztése alapján a pénteki tanácskozáson első olvasatban megtárgyalta a strukturális reformokat.;http://mti.hu/article-proxy/2011/02/18/szijjarto-_nem_vonjak_meg_a_nyugdijasok_utazasi_kedvezmenyeit-532843;SEM
3;15;2;Szijjártó Péter;A nyugdíjasok utazási kedvezményének megvonása biztosan nem lesz a strukturális reformok között - közölte Szijjártó Péter, a miniszterelnök szóvivője a kormány pénteki ülése után az MTI-vel.;http://mti.hu/article-proxy/2011/02/18/szijjarto-_nem_vonjak_meg_a_nyugdijasok_utazasi_kedvezmenyeit-532843;SEM
4;18;2;Szabó Attila;Itt találta el az a lövés, amellyel egy vadász vette célba - mondta el híradónk kérdésére Szabó Attila, a Menhely az Állatokért Alapítvány munkatársa.;http://kecskemetitv.hu/hun/sa_zuschlag_per_kecskemet/i_kecskemet_2/i_gazdaja_mellett_lottek_le_78337/t_Gazdája%20mellett%20lőtték%20le/index.html;SEM
5;12;2;P. Zoltán;"Egy csempész ismerőse szintén ,,cigiben utazó"" haragosa ellen P. Zoltán úgy szervezett meg rendőri rajtaütést annak jánkmajtisi házánál, hogy a baráti szállítókat szándékosan futni hagyta.";http://atv.hu/bunugy/20110223_felesegevel_egyutt_iteltek_el_a_volt_rendort;NEG
6;1;2;Ádám Krisztina;Ádám Krisztina, a cirkusz ügyvezető igazgatója szerint akik ellátogatnak hozzájuk 2 órányi felhőtlen kikapcsolódásban lesz részük.;http://kecskemetitv.hu/hun/sa_kecskemet/i_kecskemet_2/i_visszatert_a_kis_teve_kecskemetre_78664/t_Visszatért%20a%20kis%20teve%20Kecskemétre/index.html;SEM
9;16;2;Arnold Schwarzeneggerrel;,,Kérem szépen, Andy Vajna egy magyar származású parókadíler, aki véletlenül találkozott Arnold Schwarzeneggerrel, és a legjobb beszerzése volt Dobó Kata, ami mind művészi, mind sportszakmai ízléséről tanúskodik - imitált öklendezést Fábry Sándor.;http://www.168ora.hu/itthon/fabry-andy-vajnat-alazta-a-shodwerben-70984.html;SEM
10;6;2;Andy Vajna;,,Kérem szépen, Andy Vajna egy magyar származású parókadíler, aki véletlenül találkozott Arnold Schwarzeneggerrel, és a legjobb beszerzése volt Dobó Kata, ami mind művészi, mind sportszakmai ízléséről tanúskodik - imitált öklendezést Fábry Sándor.;http://www.168ora.hu/itthon/fabry-andy-vajnat-alazta-a-shodwerben-70984.html;NEG
12;1;2;Vágó Gábor;Vágó Gábor országgyűlési képviselő közölte, az LMP minden közösségi teret meg akar védeni, és ehhez minden politikai eszközt fel kíván használni.;http://hvg.hu/itthon/20110228_terezvaros_tuzrakter_bezaras;SEM
13;1;2;Szabó Attila;Szabó Attila, a Menhely az Állatokért Alapítványa munkatársa szerint sokan nem mernek szólni és tanúskodni sem, azonban szerencsére már több szervezet is hatásosabban fellép az állatkínzókkal szemben.;http://kecskemetitv.hu/lesz/s_!news/i_kecskemet_2/i_megszaporodtak_az_allatkinzasok:_sokan_felnek_tanu_78954/t_Megszaporodtak%20az%20állatkínzások%20sokan%20félnek%20tanúskodni/index.html;SEM
