id	label	text
225327940416712704	NEGATIVE	HSBC 'sorry' for aiding Mexican drugs lords, rogue states and terrorists http://gu.com/p/394tx/tw 
210382999454367744	NEUTRAL	Bol d'Or 2003. See if you can spot the BMW Motorrad France Team Thevent rider - https://www.facebook.com/photo.php?fbid=10151168605644619&set=a.10151168601834619.545869.223514989618&type=3 …
212454202176307202	POSITIVE	2002 TOYOTA CAMRY LE (CLEAN TITLE) (Chelsea) $2700 http://dlrd.ms/LPBOHN  #cardeals
215406031688314880	NEGATIVE	Bank of America to cut execs in wealth-management unit: Bank of America Corp. has cut some... http://q.gs/1Q1id  #Albany #NY #News
209302409195954179	NEGATIVE	I just found out that lady gaga is number one on twitter #holyshit :o
226002022170767360	POSITIVE	VW mulls renewed bid for Malaysia's Proton, sources say: Volkswagen is considering launching a new bid for Malay... http://bit.ly/NJt7mS 
216945597104656384	NEUTRAL	Oil on MAF: Mazda recently installed my 3rd engine on my 2004 Auto. After a few weeks the engine sounded rough ... http://bit.ly/NoY4b5 
208682168090763264	POSITIVE	@SternBeth can u pls RT to help @NEDisabledSport win a toyota so we can help vets and people with disabilities? http://tinyurl.com/cabqfr9  to vote
209088373871218688	NEGATIVE	@THEMarkPace except for Coldplay, The Fray, Shinedown, Linkin Park ...
209795541926809601	NEUTRAL	@ZuhaibhussainV2 is that next to the suzuki showroom?
220534751105265665	POSITIVE	Fiat boosted by Chrysler buyout optimism http://p.ost.im/p/eTCjgx 
209806812017459200	NEUTRAL	Now but seriously who wants to buy a 06 Ford Ranger ?
209276513575636992	NEUTRAL	Honda Service Manuals Civic 2008 Car Manual PDF Download Free. Owners, Repair, Service. http://dlvr.it/1g118s 
219885867127418881	POSITIVE	Video: Heart-stopping campaign from @volkswagen pleads with women not to put on makeup while driving http://ow.ly/bYe3I  #advertising
215401988387643392	NEGATIVE	Loving the new layout of Sky+HD and hating HSBC! lol
215114917622202368	POSITIVE	I have two very wanting thoughts right now.......either go drive my Subaru or paw......I wants both! But which 1st?! #tmituesday #huskyprobs
218379805794648066	NEGATIVE	Barclays statement: not all customers affected by rate fixing http://www.itv.com/news/update/2012-06-28/barclays-insist-not-all-customers-affected-by-rate-fixing/ … via @itvnews That's alright then?
213322827108073474	NEGATIVE	Is that smoke from Croation fans, or did an Italian fan just start his Fiat?
218282790012207105	NEGATIVE	Thousands of people are in jail as a result of debt but lying #Barclays scammers walk free. Bob Diamond you are scum
208453771490103296	NEGATIVE	Hahahhaa, Justin Bieber knocked himself out on stage.
211438190760960001	POSITIVE	BMW i8 Concept Spyder. Teaser. http://fb.me/1tYM7TA8v 
225682105865232384	NEUTRAL	New SUV Added: 2005 Volvo XC90: We've just added a SUV to our inventory and it is available for purchase now! ... http://bit.ly/PiM27L 
223023852446420992	NEUTRAL	Driving with spare tyre so suffering-80 kms max speed, time to say goodbye to#pirelli #tyre #volvoc30 #volvo http://instagr.am/p/M8JCt0Kd-e/ 
224233212904341505	NEGATIVE	RT @ABC: Bank of America, Countrywide Whistleblower Kept 3-Year Secret http://abcn.ws/NCS3Lf 
212903370162323456	POSITIVE	how much does it cost for a nissan skyline R34 in south africa?
227543227601928192	NEUTRAL	New Suzuki dealership opens up in New York City. Brian Cashman endorses.
208574756184801280	POSITIVE	"""Auto sales continue to boom in May with big increases from Ford, Chrysler and GM"" http://www.cleveland.com/business/index.ssf/2012/06/auto_sales_continue_to_boom_in.html …"
212310385167056896	POSITIVE	When I marry, I'll give her four rings @audi http://instagr.am/p/LwBZUQEc4Z/ 
219585336865591297	POSITIVE	Maruti Suzuki to bring upheaval with a Nano diesel engine http://goo.gl/fb/4Cp5T  #FinanceNews
218010249859317762	NEUTRAL	Yamaha Marketplace Events at Mazda Raceway: Yamaha announces a full slate of activitiees scheduled for the Yamah... http://bit.ly/MwukuY 
211699235844931585	POSITIVE	Volvo Ocean Race 2012 - Lissabon POR - In-port Race #sailing - http://www.sailing-news.ch/?vs=25140 
211513180717973504	NEUTRAL	You know how many cheeseburgers that would buy? RT @youngmoney_yawn: U front, I'm out berkley in my honda strapped up http://yfrog.com/es4vfpoj 
222150879380389889	NEUTRAL	So the women have a break in #nrs12 til October, while the men are back in action Aug 1-5 at #tourofgippsland @Subaru_Active
212678987510595586	NEUTRAL	@Audi I'm like a superhero on the highway, overtaking every rusty Honda and rusty Toyota on the road #AudiSwag
211455693591560194	NEUTRAL	#money What is wrong with my 92 Mazda miata?: ...wrong? I don't really want to take it to a mechanic because the... http://twal.kr/MmpCxk 
219259435237912576	NEGATIVE	Look. The truth of the matter is that I've never like Bon Jovi or Guns and Roses and I (probably) never will!
209725983576686592	NEGATIVE	@THESKORPION gwyneth paltrow tweeting the n word, nicki minaj cancels show because dj diss, madonna's shade towards lady gaga.
211581644308615169	NEUTRAL	Just in! We have recently added a 2003 Audi A4 to our inventory. Check it out ---&gt; http://tinyurl.com/d6ul9m9 
211681363923963907	POSITIVE	@BenBoswell1 same so im looking for a bmw on craigslist
209013451031445505	NEUTRAL	April H. is selling a 2006 Volkswagen Jetta in Signal mtn., TN with a Standard Ad.
212188712161902592	POSITIVE	@Chrysler @DriveSRT exec @RalphGilles continues to redesign automaker, industry after 20 years | http://MLive.com  http://www.mlive.com/auto/index.ssf/2012/06/chrysler_srt_exec_ralph_gilles.html#incart_river_default …
209514078958399488	POSITIVE	Usain Bolt headlines Nissan's new global campaign http://dlvr.it/1g99Pb  ^MC
209493480731459584	NEUTRAL	2012 Volkswagen Scirocco GTS: Even though the American people do not count much on Leipzig Motor Show, the local... http://bit.ly/KZTpxM 
229558473225011200	NEUTRAL	Queuing up for possibly the last car wash for my Mazda
211015274885939200	NEUTRAL	Save 41% Off: Scosche MA03B Vehicles Speaker Connector for 1998-Up Select Mazda Review… http://goo.gl/fb/L1vTD 
214808318210879489	POSITIVE	@charliesheen in that #fiat commercial is full of #win.
217265706394333184	NEUTRAL	@33NDSTRKT u gone drive that volvo to bmore and come see me? and cook me some hot water cornbread??
208710542590885890	NEGATIVE	Justin Bieber cant move eyebrow: Justin Bieber claims that he cant move his eyebrow following the mild concu... http://bit.ly/KSuhZL 
87389766689095680	NEGATIVE	Is this Harvard or a stripper bar?
218066575192887297	POSITIVE	I'm going to buy an black on black , tint windows , Chrysler 300
209309786582417408	NEGATIVE	The NAACP is backing the Nissan workers today at the Canton Multipurpose Complex at 3:00! #JusticeforNissan
211276563243745280	POSITIVE	toyota truck mirrors : Buy Jones New York Women's Plus-Size Slim Pant with Shaper Panel,... http://toyotatruckmirrors.chothingc.info/toyota-truck-mirrors-buy-jones-new-york-womens-plus-size-slim-pant-with-shaper-panel-freshblue-16w/ …
223311229358313474	POSITIVE	New Wagon Added: 2001 Chrysler PT Cruiser: We've just added a Wagon to our inventory and it is available for pur... http://bit.ly/NpZHbU 
210189336732377089	NEUTRAL	Reading The Monk Who Sold His Ferrari on Scribd http://scr.bi/Kb8FLw  #readcast
209359191675117570	POSITIVE	Toyota GT 86 Gets Accessories in Germany [Photo Gallery] - http://tinyurl.com/82nqkla 
230987527098609665	NEUTRAL	Volkswagen India has a virtual test drive on YouTube #gindia
213614396977594368	POSITIVE	My wife bought one, she loves it! Apparently same designer that penned the Audi R8 @ThatNicole
208988099701784577	POSITIVE	Toyota announced more than 4 million hybrid cars sold (May 22nd): http://electricdrive.org/index.php?ht=d/ReleaseDetails/i/29691 … #HEV #Toyota #Prius
221891298087546880	POSITIVE	RT @Chiarucciacs Early this morning near the Tennis Club... a white Fiat 500... #fiat500 #passion #oldfashon #memories #vinta http://...
209155931521548288	NEUTRAL	Johnny Lightning Coca-Cola Brand Festoon Collection 1974 Ford Mustang II Funny Car Special Limited Edition Release: http://tinyurl.com/7n29r6s 
209061190578601984	POSITIVE	1111 miles in our new Fiat, with @alkalize http://instagr.am/p/LY7zJ0GPfX/ 
208646629782335488	POSITIVE	"When people ask me why I don't have any tattoos I say to them, ""Would you put a bumper sticker on a Ferrari?"""
209078290751827968	NEUTRAL	FORD: 2002 Ford F-150 XLT Super Crew automatic (atlanta ) $2500: Xgnzhvwlldyztakokadmzkgbvilyou Sfx... http://bit.ly/NtTbQ1  #carsatlanta
249201850061029376	NEGATIVE	Why doesn't Capital One have an iPad app?
218405185523945472	NEGATIVE	Around £3.7 billion wiped off value of Barclays bank in trading today
220665462411898881	POSITIVE	The official app of the Volvo Ocean Race Festival 2012 in Galway. This app… http://goo.gl/fb/CpZUG  #android, #app
